Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-29,3396,3603,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Embarcadero, San Francisco, CA",1339.0,1081.0,1658.0,1226.0,1081.0,1392.0,,,,,,,,,,,,
2019-03-29,3396,3692,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1428.0,1180.0,1729.0,1417.0,1182.0,1698.0,1416.0,1204.0,1665.0,1583.0,1345.0,1862.0,1332.0,1148.0,1545.0,,,
2019-03-29,3396,3760,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1320.0,1087.0,1602.0,,,,1443.0,1261.0,1651.0,1340.0,1081.0,1661.0,,,,,,
2019-03-29,3603,3394,"Embarcadero, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",678.0,501.0,916.0,688.0,546.0,868.0,764.0,563.0,1036.0,702.0,578.0,853.0,556.0,408.0,757.0,479.0,424.0,541.0
2019-03-29,3603,3396,"Embarcadero, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1162.0,890.0,1516.0,,,,,,,1213.0,1095.0,1344.0,935.0,764.0,1145.0,,,
2019-03-29,3603,3792,"Embarcadero, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",546.0,393.0,757.0,513.0,422.0,623.0,698.0,541.0,901.0,596.0,457.0,777.0,462.0,331.0,645.0,449.0,329.0,613.0
2019-03-29,3692,3394,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",826.0,607.0,1126.0,871.0,786.0,964.0,991.0,750.0,1308.0,811.0,632.0,1041.0,741.0,549.0,1000.0,,,
2019-03-29,3692,3396,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1413.0,1061.0,1880.0,,,,1747.0,1298.0,2350.0,1520.0,1213.0,1904.0,1124.0,953.0,1326.0,,,
2019-03-29,3692,3792,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",448.0,291.0,690.0,382.0,267.0,547.0,535.0,378.0,758.0,457.0,310.0,672.0,429.0,265.0,693.0,393.0,241.0,640.0
2019-03-29,3760,3394,"Powell BART Station, Market St and Powell St, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",885.0,669.0,1171.0,,,,1008.0,811.0,1254.0,897.0,658.0,1222.0,795.0,631.0,1001.0,,,
